"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","HASC_1","CCN_1","CCA_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,68,"ECU","Ecuador",1,"Azuay","EC.AZ",NA,"","Provincia","Province","",""
2,68,"ECU","Ecuador",2,"Bolivar","EC.BO",NA,"","Provincia","Province","",""
3,68,"ECU","Ecuador",3,"Cañar","EC.CN",NA,"","Provincia","Province","",""
4,68,"ECU","Ecuador",4,"Carchi","EC.CR",NA,"","Provincia","Province","",""
5,68,"ECU","Ecuador",5,"Chimborazo","EC.CB",NA,"","Provincia","Province","",""
6,68,"ECU","Ecuador",6,"Cotopaxi","EC.CT",NA,"","Provincia","Province","","Le¢n"
7,68,"ECU","Ecuador",7,"El Oro","EC.EO",NA,"","Provincia","Province","",""
8,68,"ECU","Ecuador",8,"Esmeraldas","EC.ES",NA,"","Provincia","Province","",""
9,68,"ECU","Ecuador",9,"Galápagos","EC.GA",NA,"","Provincia","Province","",""
10,68,"ECU","Ecuador",10,"Guayas","EC.GU",NA,"","Provincia","Province","",""
11,68,"ECU","Ecuador",11,"Imbabura","EC.IM",NA,"","Provincia","Province","",""
12,68,"ECU","Ecuador",12,"Loja","EC.LJ",NA,"","Provincia","Province","",""
13,68,"ECU","Ecuador",13,"Los Rios","EC.LR",NA,"","Provincia","Province","",""
14,68,"ECU","Ecuador",14,"Manabi","EC.MN",NA,"","Provincia","Province","",""
15,68,"ECU","Ecuador",15,"Morona Santiago","EC.MS",NA,"","Provincia","Province","",""
16,68,"ECU","Ecuador",16,"Napo","EC.NA",NA,"","Provincia","Province","",""
17,68,"ECU","Ecuador",17,"Orellana","EC.OR",NA,"","Provincia","Province","",""
18,68,"ECU","Ecuador",18,"Pastaza","EC.PA",NA,"","Provincia","Province","",""
19,68,"ECU","Ecuador",19,"Pichincha","EC.PI",NA,"","Provincia","Province","",""
20,68,"ECU","Ecuador",20,"Santa Elena","EC.SE",NA,"","Provincia","Province","",""
21,68,"ECU","Ecuador",21,"Santo Domingo de los Tsáchilas","EC.SD",NA,"","Provincia","Province","",""
22,68,"ECU","Ecuador",22,"Sucumbios","EC.SU",NA,"","Provincia","Province","",""
23,68,"ECU","Ecuador",23,"Tungurahua","EC.TU",NA,"","Provincia","Province","",""
24,68,"ECU","Ecuador",24,"Zamora Chinchipe","EC.ZC",NA,"","Provincia","Province","",""
